,frame_processed,number_of_object_detected
0,5,5
1,10,5
2,15,4
3,20,4
4,25,4
5,30,4
6,35,5
7,40,5
8,45,4
9,50,4
10,55,7
11,60,7
12,65,5
13,70,6
14,75,6
15,80,5
16,85,8
17,90,8
18,95,4
19,100,7
20,105,6
21,110,8
22,115,9
23,120,7
24,125,5
25,130,6
26,135,5
27,140,6
28,145,5
29,150,6
30,155,8
31,160,8
32,165,8
33,170,7
34,175,8
35,180,6
36,185,8
37,190,9
38,195,7
39,200,6
40,205,4
41,210,4
42,215,6
43,220,7
44,225,6
45,230,6
46,235,11
47,240,7
48,245,7
49,250,8
50,255,8
51,260,9
52,265,8
53,270,7
54,275,6
55,280,6
56,285,5
57,290,4
58,295,8
59,300,7
60,305,7
61,310,6
62,315,9
63,320,4
64,325,7
65,330,6
66,335,6
67,340,5
68,345,6
69,350,7
70,355,4
71,360,5
72,365,4
73,370,7
74,375,3
75,380,6
76,385,7
77,390,3
78,395,3
79,400,5
80,405,3
81,410,5
82,415,5
83,420,5
84,425,6
85,430,3
86,435,7
87,440,3
88,445,2
89,450,4
90,455,2
91,460,3
92,465,4
93,470,2
94,475,3
95,480,4
96,485,4
97,490,3
98,495,5
99,500,3
100,505,4
101,510,4
102,515,6
103,520,8
104,525,4
105,530,4
106,535,5
107,540,4
108,545,6
109,550,6
110,555,5
111,560,6
112,565,7
113,570,6
114,575,7
115,580,5
116,585,7
117,590,5
118,595,7
119,600,4
120,605,6
121,610,5
122,615,1
123,620,4
124,625,2
125,630,3
126,635,5
127,640,5
128,645,4
129,650,5
130,655,6
131,660,5
132,665,4
133,670,4
134,675,7
135,680,5
136,685,7
137,690,7
138,695,7
139,700,6
140,705,5
141,710,7
142,715,6
143,720,7
144,725,7
145,730,5
146,735,7
147,740,5
148,745,8
149,750,6
